web-scraper-order,description_raw,location_raw,price_raw,price,mileage_raw,mileage,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733472005-369,"PILOTE P 650 ESSENTIEL 2,3 DIESEL FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 49'697.–,49697,54'550 km,54550,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472009-370,"PÖSSL VARIO 499 2,2 HDI DIESEL HOCHDACH H3 CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 49'997.–,49997,22'981 km,22981,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472023-372,"MALIBU CARTHAGO VAN 600 2,3 DIESEL FIAT DUCATO MULTIJET 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 49'997.–,49997,32'648 km,32648,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472026-373,"PÖSSL ROADCAR R 600 2,3 DIESEL FIAT DUCATO MULTIJET PROFESSIONAL 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 40'997.–,40997,66'055 km,66055,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472029-374,"SUNLIGHT CAPRON 600 2,3 DIESEL FIAT DUCATO MULTIJET 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 47'997.–,47997,46'314 km,46314,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472032-375,"ADRIA MATRIX M 670 SL 50 JAHRE EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,11'702 km,11702,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472038-376,"PÖSSL GLOBECAR CAMPSCOUT REVOLUTION 2,3 DIESEL HOCHDACH H3 FIAT DUCATO MAXI PROFESSIONAL MULTIJET 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 55'997.–,55997,39'113 km,39113,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472041-377,"CARADO A 461 2,3 DIESEL FIAT DUCATO MULTIJET 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 55'197.–,55197,27'537 km,27537,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472044-378,"LAIKA ECOVIP 609 2,3 DIESEL FIAT DUCATO MULTIJET 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 54'997.–,54997,28'177 km,28177,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472047-379,ROLLER TEAM PEGASO MYTHOS 285,"VIA BELLINZONA 7, 6743 BODIO",CHF 73'900.–,73900,38'900 km,38900,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472049-380,"CHAUSSON TWIST V 594 START LIMITED EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 2 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 44'997.–,44997,43'749 km,43749,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472052-381,"CI CARAVANSINTERNATIONAL MAGIS 85 INTEGRAL 2,3 DIESEL FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 56'997.–,56997,27'705 km,27705,Diesel,1,Fribourg,10,46.82259750366211,7.301876544952393
1733472054-382,"CARADO A 461 2,3 DIESEL FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 47'997.–,47997,43'126 km,43126,Diesel,1,Ticino,21,45.997154235839844,8.911989212036133
1733472057-383,"PÖSSL R 640 2,3 DIESEL FIAT DUCATO MAXI PROFESSIONAL MULTIJET 160","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 56'997.–,56997,29'839 km,29839,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472060-384,"RAPIDO 8096 DF PREMIUM EDITION 2,3 DIESEL FIAT DUCATO MULTIJET 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 67'997.–,67997,30'531 km,30531,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472063-385,"ROLLER TEAM KRONOS 267 TL 2,0 TDCI DIESEL FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 57'597.–,57597,24'094 km,24094,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472068-386,SUNLIGHT T67 (CITROEN JUMPER 140PS),"INDUSTRIESTRASSE 14, 8355 AADORF",CHF 61'950.–,61950,20'500 km,20500,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472073-387,"MALIBU CARTHAGO VAN V 600 DB 2,3 DIESEL FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 54'997.–,54997,15'983 km,15983,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472076-388,"KNAUS BOX STAR 630 FREEWAY 2,3 DIESEL 9G-AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 160","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 66'996.–,66996,29'233 km,29233,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472078-389,"CARADO CAPRON A 464 2,3 D FIAT DUCATO MULTIJET 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 57'597.–,57597,18'286 km,18286,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472083-391,"HYMER YOSEMITE 2,3 DIESEL HUBDACH FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 62'997.–,62997,53'988 km,53988,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472091-392,"BÜRSTNER LYSEO TIME IT 727 G HARMONY LINE 2,0 BLUEHDI CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 62'997.–,62997,19'985 km,19985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472094-393,"KNAUS WEINSBERG CARABUS 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 63'997.–,63997,16'694 km,16694,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472102-394,"WEINSBERG KNAUS CARABUS 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 63'997.–,63997,16'694 km,16694,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472110-396,VW CALI. TDI OCE. ED. LIB. A,"SPISI 9, 1714 HEITENRIED",CHF 67'000.–,67000,10'600 km,10600,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472113-397,LAIKA ECOVIP 690,"VIA ALLA FOCE N. 5, 6933 MUZZANO",CHF 54'900.–,54900,62'500 km,62500,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472119-398,"ROLLER TEAM LIVINGSTONE 2 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 61'397.–,61397,25'869 km,25869,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472124-399,"LAIKA ECOVIP 309 S 2,3 DIESEL FIAT DUCATO MJ2 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 54'697.–,54697,49'985 km,49985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472134-400,"ETRUSCO A 6600 BB 2,3 DIESEL FIAT DUCATO MJ 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 57'597.–,57597,35'081 km,35081,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472141-401,"ETRUSCO V 6600 SB 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 65'997.–,65997,14'589 km,14589,Diesel,1,Aargau,19,47.40693283081055,8.31423568725586
1733472147-402,"PILOTE GALAXY G 650 ESSENTIEL 2,3 DIESEL FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 54'997.–,54997,57'383 km,57383,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472153-403,"ROLLER TEAM AUTO ROLLER KRONOS 264 TL 2,0 TDCI FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 49'997.–,49997,57'859 km,57859,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472159-404,"CARADO I 447 EMOTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 180","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 69'997.–,69997,19'985 km,19985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472164-405,BÜRSTNER NEXXO T620 G (CITROEN JUMP.),"INDUSTRIESTRASSE 14, 8355 AADORF",CHF 62'950.–,62950,14'500 km,14500,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472169-406,"DETHLEFFS JUST 7052 EB 2,2 HDI DIESEL CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 63'997.–,63997,14'231 km,14231,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472175-407,"BENIMAR MILEO 263 2,3 DIESEL FIAT DUCATO MJ 160","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 65'996.–,65996,33'854 km,33854,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472180-408,"CHAUSSON TWIST V 594 START SPEZIAL EDITION 2,3  DIESEL FIAT DUCATO MJ 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 49'997.–,49997,48'856 km,48856,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472185-409,"PÖSSL GLOBECAR GLOBESTAR 600 L REVOLUTION 2,3 DIESEL AUTOMAT HOCHDACH H3 FIAT DUCATO PROFESSIONAL MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 56'997.–,56997,42'124 km,42124,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472191-410,MERCEDES-BENZ MARCO POLO - V 300 D L 4M - HORIZON - 4X4 - AUFSTELLDACH,"STERNMATT 6, 6010 KRIENS / LUZERN",CHF 69'900.–,69900,29'600 km,29600,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472198-411,"PILOTE V 630 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 47'997.–,47997,39'985 km,39985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472212-412,"KARMANN DAVIS 590 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,19'985 km,19985,Diesel,1,Basel-Landschaft,13,47.41001510620117,7.49330997467041
1733472218-413,"DETHLEFFS TREND T 6767 2,3 DIESEL FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 46'997.–,46997,89'985 km,89985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472224-414,"FORD TRANSIT CUSTOM NUGGET WESTFALIA HOCHDACH H3 2,2 TDCI DIESEL","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 46'997.–,46997,42'615 km,42615,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472232-415,"ETRUSCO I 7400 SB COMPLETE SELECTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 81'597.–,81597,14'568 km,14568,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472239-416,VW T5 CALIFORNIA 2.0 BI-TDI BEACH EDITION,"WERKSTRASSE 1, 5608 STETTEN",CHF 25'000.–,25000,199'800 km,199800,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472246-417,"PÖSSL V 640 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 43'997.–,43997,54'622 km,54622,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472252-418,"ETRUSCO T 6900 QB 2,0 HDI DIESEL CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,25'019 km,25019,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472258-419,"CHAUSSON 648 TITANIUM VIP 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 64'997.–,64997,29'985 km,29985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472264-420,"LAIKA X 595 R 2,3 DIESEL FIAT DUCATO MJ 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 36'797.–,36797,79'985 km,79985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472271-421,"ADRIA SUN LIVING V 65 SL 2,3 DIESEL FIAT DUCATO MJ","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 55'997.–,55997,42'601 km,42601,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472280-422,"KNAUS BOX STAR 600 DQ SOLUTION 4 2,3 DIESEL HOCHDACH H3 FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 56'997.–,56997,38'286 km,38286,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472287-423,"ROLLER TEAM KRONOS 291 P 2,0 TDCI DIESEL FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 52'997.–,52997,19'648 km,19648,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472298-424,"CLEVER VANS TOUR 540 2,2 HDI DIESEL CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 45'997.–,45997,35'586 km,35586,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472309-425,"FORD TRANSIT CUSTOM NUGGET WESTFALIA AUFSTELLDACH 2,0 TDCI DIESEL AUTOMAT","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 54'697.–,54697,24'401 km,24401,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472319-426,"WEINSBERG CARABUS 631 ME EDITION FIRE 2,3 DIESEL FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 48'997.–,48997,49'985 km,49985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472322-427,VW T6 CALIFORNIA 2.0 TDI 199 BEACH DSG 4M 7 PL.,"DELSBERGERSTRASSE 181, 4242 LAUFEN",CHF 62'900.–,62900,26'000 km,26000,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472326-428,"PÖSSL RAODCAR R 540 2,3 DIESEL FIAT DUCATO PROFESSIONAL MJ2 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 47'997.–,47997,28'689 km,28689,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472330-429,"ETRUSCO CV 600 DB COMPLETE SELECTION 2,3 DIESEL FIAT DUCATO MULTIJET 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 55'997.–,55997,29'985 km,29985,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472333-430,"VW T6.1 CALIFORNIA 2,0 TDI DSG 4X4 OCEAN EDITION LIBERTY","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 65'997.–,65997,54'977 km,54977,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472349-431,"VW T6.1 CALIFORNIA 2,0 TDI DSG 4X4 OCEAN EDITION LIBERTY","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 65'997.–,65997,45'981 km,45981,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472369-432,"FORD TRANSIT CUSTOM NUGGET WESTFALIA AUFSTELLDACH 2,0 TDCI DIESEL AUTOMAT","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 51'997.–,51997,43'867 km,43867,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472382-434,"BÜRSTNER NEXXO TIME T 569 EDITION 30 YEARS 2,0 HDI CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 52'997.–,52997,39'663 km,39663,Diesel,1,Zürich,01,47.36789321899414,8.81820297241211
1733472386-435,"ADRIA MATRIX AXESS 670 SL GT EDITION 2,3 DIESEL AUTOMAT FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 68'997.–,68997,48'698 km,48698,Diesel,1,Vaud,22,46.83207321166992,6.935480117797852
1733472392-436,"HOBBY OPTIMA PREMIUM T 65 GQ 2,3 DIESEL AUTOMAT FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 64'997.–,64997,28'515 km,28515,Diesel,1,St. Gallen,17,47.467018127441406,9.58243179321289
1733472398-437,"RIMOR EVO 95 PLUS 2,0 TDCI DIESEL AUTOMAT FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,31'555 km,31555,Diesel,1,Genève,25,46.193580627441406,6.129368782043457
1733472404-438,"HYMER EXIS-I EX 474 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 79'996.–,79996,23'640 km,23640,Diesel,1,Genève,25,46.193580627441406,6.129368782043457
1733472410-439,"WEINSBERG CARASUITE 700 ME 2,3 DIESEL FIAT DUCATO MULTIJET 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 64'997.–,64997,23'641 km,23641,Diesel,1,Bern,02,46.774803161621094,7.615665435791016
1733472416-440,"CHAUSSON KOROS 720 2,0 TDCI DIESEL FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 54'997.–,54997,49'985 km,49985,Diesel,1,Bern,02,47.07102584838867,7.5950236320495605
1733472423-441,"CARADO CAPRON V 132 2,3 DIESEL FIAT DUCATO MJ","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 46'997.–,46997,37'661 km,37661,Diesel,1,Aargau,19,47.48258972167969,8.278800010681152
1733472435-443,"CHAUSSON 747 GA WELCOME PREMIUM 2,3 DIESEL FIAT DUCATO MJ 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,26'652 km,26652,Diesel,1,Zürich,01,47.23871994018555,8.749458312988281
1733472461-445,"RAPIDO CI CARAVANSINTERNATIONAL MAGIS 85 INTEGRAL 2,3 DIESEL FIAT DUCATO MULTIJET 130","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 56'997.–,56997,27'705 km,27705,Diesel,1,Luzern,03,46.924835205078125,8.018625259399414
1733472465-446,"HOBBY OPTIMA T 65 FL ONTOUR 2,2 HDI DIESEL CITROEN JUMPER","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 62'997.–,62997,12'847 km,12847,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472469-447,"HYMER GRAND CANYON 600 2,3 DIESEL HUBDACH FIAT DUCATO MJ 150","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 53'997.–,53997,39'890 km,39890,Diesel,1,Aargau,19,47.29646301269531,7.931781768798828
1733472475-448,FIAT DUCATO,"ZOLLSTRASSE 10 & WALDEGG 379, 3436 ZOLLBRÜCK",CHF 48'900.–,48900,38'000 km,38000,Diesel,1,Valais,23,46.18864440917969,7.297874450683594
1733472480-449,VW TYP 2,"PFÄFFIKERSTRASSE 31A, 8335 HITTNAU",CHF 19'900.–,19900,200'000 km,200000,Benzin,0,Schaffhausen,14,47.686065673828125,8.622149467468262
1733472485-450,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,"ROUTE DE GRANDCOUR 71, 1530 PAYERNE",CHF 61'900.–,61900,35'500 km,35500,Diesel,1,Nidwalden,07,46.934852600097656,8.393327713012695
1733472488-451,VW 2.0 TDI 4MOTION MULTIVAN CAMPER,"THALERSTRASSE 46A, 9424 RHEINECK",CHF 25'900.–,25900,186'000 km,186000,Diesel,1,Bern,02,46.76797103881836,7.352298259735107
1733472504-453,VW T5 CALIFORNIA 2.0 TDI COMFORTLINE TRAVEL,"RUE EUGÈNE-MARZIANO 18, 1227 LES ACACIAS",CHF 50'500.–,50500,51'000 km,51000,Diesel,1,Bern,02,47.07444381713867,7.581071853637695
1733472510-454,DETHLEFFS XXLA 9000,"BERNSTRASSE 115, 3613 STEFFISBURG",CHF 169'500.–,169500,13'500 km,13500,Diesel,1,Aargau,19,47.414920806884766,8.382509231567383
1733472513-455,MERCEDES-BENZ MARCO POLO 220 D A,"INDUSTRIESTRASSE 6, 3421 LYSSACH",CHF 62'900.–,62900,16'900 km,16900,Diesel,1,Aargau,19,47.37942886352539,8.14233112335205
1733472516-456,VW T6.1 CALIFORNIA 2.0 TDI OCEAN EDITION LIBERTY,"BRUGGERSTRASSE 194, 5400 BADEN",CHF 59'500.–,59500,29'008 km,29008,Diesel,1,Zürich,01,47.272743225097656,8.43922233581543
1733472519-457,VW 2.4D WESTFALIA MIT HOCHDACH,"JOHANN-RENFER-STRASSE 3, 2504 BIEL/BIENNE",CHF 16'690.–,16690,244'990 km,244990,Diesel,1,Solothurn,11,47.24129867553711,7.598618030548096
1733472524-458,VW T6 CALIFORNIA 2.0 BI-TDI BEACH LIBERTY 4MOTION,"LAUBISRÜTISTRASSE 77, 8713 UERIKON",CHF 47'900.–,47900,109'000 km,109000,Diesel,1,Luzern,03,47.04911422729492,8.27134895324707
1733472528-459,LAIKA IVECO LAIKA ECOVIP,"HAUPTSTRASSE 70 A, 9105 SCHÖNENGRUND",CHF 27'500.–,27500,138'000 km,138000,Diesel,1,Uri,04,46.855812072753906,8.639747619628906
1733472533-460,TOYOTA 400 HDT LONG 4.2D BUSCHTAXI,"STAUFMOOS, 6170 SCHÜPFHEIM",CHF 79'800.–,79800,61'000 km,61000,Diesel,1,Luzern,03,47.04475021362305,8.191388130187988
1733472536-461,"KNAUS SKY TI 700 MEG PLATINUM SELECTION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 160","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 67'997.–,67997,37'312 km,37312,Diesel,1,St. Gallen,17,47.41733932495117,9.236328125
1733472539-462,BRAVIA SWAN 636 165 PS SWISS ED.HIGH ROOF,"UNTERE BRÜHLSTRASSE 48, 4800 ZOFINGEN",CHF 74'900.–,74900,20'000 km,20000,Diesel,1,Solothurn,11,47.15408706665039,7.592122554779053
1733472546-464,VW T6.1 CALIFORNIA 2.0 TDI OCEAN 4MOTION ANHÄNGELAST 2500KG SEITENSTOREN UND ELEKTRISCHES HOCHDACH  NEUPREIS 95840 CHF,"ZENTRALSTRASSE 121, 8212 NEUHAUSEN AM RHEINFALL",CHF 66'900.–,66900,42'014 km,42014,Diesel,1,Zürich,01,47.41579055786133,8.562726974487305
1733472553-466,VW T6 CALIFORNIA 2.0 BI-TDI OCEAN BLUE,"KAPPELEN 30B, 3156 RIFFENMATT",CHF 55'800.–,55800,33'100 km,33100,Diesel,1,Vaud,22,46.344478607177734,6.943572521209717
1733472561-468,YUCON 6.0,"KIRCHBERGSTRASSE 61, 3421 LYSSACH",CHF 99'900.–,99900,12'266 km,12266,Diesel,1,Luzern,03,47.05141830444336,8.273253440856934
1733472565-469,VW T6 CALIFORNIA 2.0 TDI OCEAN LIBERTY 4MOTION,"GRUBENSTRASSE 7, 8957 SPREITENBACH",CHF 51'900.–,51900,61'500 km,61500,Diesel,1,Luzern,03,47.19865417480469,8.108717918395996
1733472569-470,FORD 100L,"SEETALSTRASSE 35, 5503 SCHAFISHEIM",CHF 10'900.–,10900,274'000 km,274000,Benzin,0,Luzern,03,47.040523529052734,8.134263038635254
1733472573-471,ITINEO 740 AUF FIAT DUCATO,"OBFELDERSTRASSE 38, 8910 AFFOLTERN AM ALBIS",CHF 59'800.–,59800,17'598 km,17598,Diesel,1,Bern,02,47.070003509521484,7.3112287521362305
1733472586-472,MERCEDES-BENZ SPRINTER 313 CDI 4X4 AUTOMATIK / OFF-ROAD AUTARK CAMPER **FRISCH AB MFK**,"BASELSTRASSE 25, 4534 FLUMENTHAL",CHF 46'990.–,46990,63'109 km,63109,Diesel,1,Bern,02,47.07384490966797,7.588680267333984
1733472590-473,MERCEDES-BENZ MARCO POLO 250 D  4M AUTOMAT,"UNTERWILRAIN 16, 6014 LUZERN",CHF 69'500.–,69500,32'000 km,32000,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472593-474,FIAT CARADO A464 2.3 JTD,"UMFAHRUNGSSTRASSE 9, 6467 SCHATTDORF",CHF 33'900.–,33900,44'900 km,44900,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472595-475,DETHLEFFS ADVANTAGE I 7051EB,"EISTRASSE 1, 6102 MALTERS",CHF 47'000.–,47000,157'000 km,157000,Diesel,1,Zürich,01,47.49706268310547,8.864991188049316
1733472600-476,VW T5 CALIFORNIA 2.0 TDI COMFORTLINE LAST EDITION,"WILERSTRASSE 71, 9200 GOSSAU SG",CHF 36'500.–,36500,148'500 km,148500,Diesel,1,Graubünden,18,47.00366973876953,9.525409698486328
1733472609-478,FORD TRANSIT AUTOROLLER,"FORCHSTRASSE 148, 8132 EGG BEI ZÜRICH",CHF 29'900.–,29900,88'000 km,88000,Diesel,1,Thurgau,20,47.56706237792969,8.858413696289062
1733472612-479,MERCEDES-BENZ MARCO POLO 300 D 4M A,"HAGENHOLZSTRASSE 111, 8050 ZÜRICH",CHF 74'900.–,74900,35'500 km,35500,Diesel,1,Nidwalden,07,46.934852600097656,8.393327713012695
1733472615-480,MERCEDES-BENZ MARCO POLO ACTIV 250 D 4M,"GRAND-RUE 4, 2606 CORGÉMONT (BIEL-BIENNE/BE - 13 MIN)",CHF 45'999.–,45999,123'000 km,123000,Diesel,1,Genève,25,46.193580627441406,6.129368782043457
1733472618-481,FORD CHALLENGER TRIGANO FD4,"PRÉ DE L'OIE 3, 1853 YVORNE",CHF 65'500.–,65500,11'800 km,11800,Diesel,1,Bern,02,47.11769485473633,7.2922821044921875
1733472626-483,NISSAN NV400 LH2 WOHNMOBIL,"LUZERNERSTRASSE 80, 6014 LUZERN",CHF 39'999.–,39999,25'000 km,25000,Diesel,1,Thurgau,20,47.65929412841797,9.12209701538086
1733472633-485,CARTHAGO CHIC S-PLUS,"MITTLER-LANGNAU 1, 6105 SCHACHEN LU",CHF 199'000.–,199000,20'000 km,20000,Diesel,1,Glarus,08,47.049163818359375,9.064384460449219
